Implementation,ML-KEM,KeyGen_stack,KeyGen_heap,Encaps_stack,Encaps_heap,Decaps_stack,Decaps_heap
SPEED,512,6144,0,8768,0,8720,0
SPEED,768,10432,0,13376,0,13328,0
SPEED,1024,15552,0,19008,0,18960,0
SPEED_DUALCORE,512,6176,1896,8864,1896,8816,1896
SPEED_DUALCORE,768,10288,1896,13472,1896,13424,1896
SPEED_DUALCORE,1024,15392,1896,19104,1896,19056,1896
STACK,512,2416,0,2352,0,2304,0
STACK,768,2976,0,2848,0,2800,0
STACK,1024,3488,0,3552,0,3504,0
STACK_XTREME,512,1968,0,1904,0,1856,0
STACK_XTREME,768,1968,0,1840,0,1920,0
STACK_XTREME,1024,1968,0,2032,0,2064,0
STACK_DUALCORE,512,2320,2152,2416,2152,2368,2152
STACK_DUALCORE,768,2816,2152,2912,2152,2864,2152
STACK_DUALCORE,1024,3328,2152,3424,2152,3376,2152
